Grantee Name,Grantee Type,Grantee City,Grantee State,Licensee Name
Mississippi Public Broadcasting,TV,Jackson,MS,Mississippi Authority for Educational Television
KUSM-TV                                                                         ,TV,Bozeman ,MT,Board of Regents - Montana University System
PBS North Carolina,TV,Research Triangle Park,NC,University of North Carolina 
WTVI-TV                                                                         ,TV,Charlotte ,NC,Central Piedmont Community College
Prairie Public Television                                                       ,TV,Fargo,ND,"Prairie Public Broadcasting, Inc."
Nebraska Network                                                                ,TV,Lincoln,NE,Nebraska Educational Telecommunications Commission
KUON-TV                                                                         ,TV,Lincoln,NE,The University of Nebraska
New Hampshire Network                                                           ,TV,Durham,NH,New Hampshire Public Broadcasting
New Jersey Network,TV,Trenton,NJ,New Jersey Public Broadcasting Authority
KNME-TV                                                                         ,TV,Albuquerque ,NM,Regents of the University of New Mexico and the Board of Education of the City of Albuquerque
KRWG-TV                                                                         ,TV,Las Cruces,NM,Regents of New Mexico State University
KENW-TV                                                                         ,TV,Portales,NM,Eastern New Mexico University
KLVX-TV                                                                         ,TV,Las Vegas,NV,Clark County School District
KNPB-TV                                                                         ,TV,Reno ,NV,"Channel 5 Public Broadcasting, Inc."
WSKG-TV                                                                         ,TV,Vestal,NY,WSKG Public Telecommunications Council
WNYE-TV                                                                         ,TV,Brooklyn,NY,New York City Department of Information Technology and Telecommunications (DoITT)
WNED-TV                                                                         ,TV,Buffalo,NY,Western New York Public Broadcasting Association
WNET-TV                                                                         ,TV,New York,NY,WNET
WCFE-TV                                                                         ,TV,Plattsburgh,NY,Mountain Lake Public Telecommunications Council
WXXI-TV                                                                         ,TV,Rochester,NY,WXXI Public Broadcasting Council
WMHT-TV                                                                         ,TV,Troy,NY,WMHT Educational Telecommunications
WCNY-TV                                                                         ,TV,Syracuse ,NY,"The Public Broadcasting Council of Central New York, Inc."
WPBS-TV                                                                         ,TV,Watertown ,NY,"St. Lawrence Valley Educational Television Council, Inc."
WNEO-TV,TV,Kent,OH,"Northeastern Educational Television of Ohio, Inc."
WOUB-TV                                                                         ,TV,Athens,OH,Ohio University
WBGU-TV                                                                         ,TV,Bowling Green,OH,Bowling Green State University
WCET-TV,TV,Cincinnati ,OH,The Greater Cincinnati Television Educational Foundation
WVIZ-TV                                                                         ,TV,Cleveland,OH,Ideastream
WOSU-TV                                                                         ,TV,Columbus,OH,The Ohio State University
WPTD-TV                                                                         ,TV,Dayton ,OH,"Greater Dayton Public Television, Inc."
WGTE-TV                                                                         ,TV,Toledo,OH,Public Broadcasting Foundation of Northwest Ohio
Oklahoma Network                                                                ,TV,Oklahoma City,OK,Oklahoma Educational Television Authority
KRSU-TV,TV,Claremore,OK,Board of Regents of the University of Oklahoma/Rogers State University
KSYS-TV                                                                         ,TV,Medford,OR,"Southern Oregon Public Television, Inc."
Oregon Network                                                                  ,TV,Portland,OR,Oregon Public Broadcasting
WLVT-TV                                                                         ,TV,Bethlehem,PA,Lehigh Valley Public Telecommunications Corporation
WQLN-TV                                                                         ,TV,Erie,PA,"Public Broadcasting of NorthwestPennsylvania, Inc."
WITF-TV                                                                         ,TV,Harrisburg,PA,"WITF, Inc."
WHYY-TV                                                                         ,TV,Philadelphia,PA,"WHYY, Inc."
WQED-TV                                                                         ,TV,Pittsburgh,PA,WQED Multimedia
WVIA-TV                                                                         ,TV,Pittston,PA,Northeastern Pennsylvania Educational Television Association
WPSU-TV,TV,University Park,PA,The Pennsylvania State University
WMTJ-TV                                                                         ,TV,Rio Piedras,PR,"Sistema Universitario Ana G. Mendez, Inc."
WIPR-TV                                                                         ,TV,San Juan,PR,Puerto Rico Public Broadcasting Corporation
WSBE-TV,TV,Providence,RI,Rhode Island PBS Foundation
South Carolina Network                                                          ,TV,Columbia,SC,South Carolina Educational Television Commission
South Dakota Public Television                                                  ,TV,Vermillion,SD,South Dakota Board of Directors for Educational Telecommunications
WTCI-TV,TV,Chattanooga,TN,The Greater Chattanooga Public Television Corporation
WETP-TV,TV,Knoxville,TN,East Tennessee Public Communications Corporation
WLJT-TV                                                                         ,TV,Martin ,TN,"West Tennessee Public Television Council, Inc."
WKNO-TV                                                                         ,TV,Cordova,TN,"The Mid-South Public Communications Foundation, Inc."
WNPT-TV,TV,Nashville,TN,"Nashville Public Television, Inc."
WCTE-TV                                                                         ,TV,Cookeville,TN,Upper Cumberland Broadcast Council
KACV-TV                                                                         ,TV,Amarillo,TX,Amarillo Junior College District
KLRU-TV                                                                         ,TV,Austin,TX,Capital of Texas Public Telecommunications Council
KLRN-TV                                                                         ,TV,San Antonio,TX,Alamo Public Telecommunications Council
