Grantee Name,Grantee Type,Grantee City,Grantee State,Licensee Name
KSJR-FM                                                                         ,Radio,Saint Paul,MN,Minnesota Public Radio
WDSE-FM,Radio,Duluth,MN,Duluth-Superior Area Educational Television Corporation
WSCD-FM                                                                         ,Radio,Saint Paul,MN,Minnesota Public Radio
KAXE-FM                                                                         ,Radio,Grand Rapids,MN,"Northern Community Radio, Inc."
KFAI-FM                                                                         ,Radio,Minneapolis ,MN,Fresh Air Incorporated
KBEM-FM                                                                         ,Radio,Minneapolis ,MN,"Board of Education, Special School District #1"
KSJN-FM                                                                         ,Radio,Saint Paul,MN,Minnesota Public Radio
KCCM-FM                                                                         ,Radio,Saint Paul,MN,Minnesota Public Radio
KLSE-FM                                                                         ,Radio,Saint Paul,MN,Minnesota Public Radio
WTIP-FM,Radio,Grand Marais,MN,Cook County Community Radio Corporation
KMOJ-FM,Radio,Minneapolis,MN,Center for Communication and Development
KSRQ-FM,Radio,Thief River Falls,MN,Northland Community and Technical College
KKWE-FM,Radio,Callaway,MN,White Earth Land Recovery Project
KBFT-FM,Radio,Nett Lake,MN,Bois Forte Tribal Council
KOJB-FM,Radio,Cass Lake ,MN,Leech Lake Band of Ojibwe
KRCU-FM                                                                         ,Radio,Cape Girardeau,MO," Board of Governors, Southeast Missouri State University"
KBIA-FM                                                                         ,Radio,Columbia,MO,The Curators of the University of Missouri
KOPN-FM                                                                         ,Radio,Columbia ,MO,New Wave Corporation
KJLU-FM                                                                         ,Radio,Jefferson City,MO,Board of Curators of Lincoln University of Missouri
KCUR-FM                                                                         ,Radio,Kansas City,MO,The Curators of the University of Missouri
KKFI-FM                                                                         ,Radio,Kansas City,MO,"Mid-Coast Radio Project, Inc."
KXCV-FM                                                                         ,Radio,Maryville,MO,Board of Regents for Northwest Missouri State University
KDHX-FM                                                                         ,Radio,Saint Louis,MO,Double Helix Corporation
KWMU-FM                                                                         ,Radio,St. Louis,MO,The Curators of the University of Missouri
KSMU-FM                                                                         ,Radio,Springfield,MO,Board of Governors of  Missouri State University
KTBG-FM,Radio,Kansas City,MO,"Public Television 19, Inc."
WURC-FM                                                                         ,Radio,Holly Springs,MS,"Rust College, Inc."
WJSU-FM                                                                         ,Radio,Jackson ,MS,Jackson State University
WMPN-FM,Radio,Jackson,MS,Mississippi Authority for Educational Television
WPRL-FM                                                                         ,Radio,Lorman,MS,Alcorn State University
KEMC-FM                                                                         ,Radio,Billings,MT,Montana State University - Billings
KGVA-FM                                                                         ,Radio,Harlem,MT,"Aaniiih Nakoda College, Inc."
KUFM-FM,Radio,Missoula,MT,University of Montana
KGLT-FM,Radio,Bozeman,MT,Board of Regents - Montana University System
WCQS-FM                                                                         ,Radio,Asheville,NC,"Western North Carolina Public Radio, Inc."
WUNC-FM                                                                         ,Radio,Chapel Hill,NC,"WUNC Public Radio, LLC"
WFAE-FM                                                                         ,Radio,Charlotte,NC,"University Radio Foundation, Inc."
WDAV-FM                                                                         ,Radio,Davidson,NC,Trustees of Davidson College
WNCU-FM                                                                         ,Radio,Durham,NC,North Carolina Central University
WRVS-FM                                                                         ,Radio,Elizabeth City,NC,Elizabeth City State University
WTEB-FM                                                                         ,Radio,New Bern,NC,Board of Trustees for Craven Community College
WNCW-FM                                                                         ,Radio,Spindale ,NC,Isothermal Community College
WHQR-FM                                                                         ,Radio,Wilmington,NC,"Friends of Public Radio, Inc."
WFDD-FM,Radio,Winston-Salem,NC,Wake Forest University
KEYA-FM                                                                         ,Radio,Belcourt,ND,"KEYA, Inc."
KCND-FM                                                                         ,Radio,Fargo,ND,"Prairie Public Broadcasting, Inc."
KMHA-FM                                                                         ,Radio,New Town ,ND,Fort Berthold Communication Enterprise
KABU-FM,Radio,Fort Totten,ND,"Dakota Circle Tipi, Inc."
KUCV-FM                                                                         ,Radio,Lincoln,NE,Nebraska Educational Telecommunications Commission
KZUM-FM                                                                         ,Radio,Lincoln ,NE,"Sunrise Communications, Inc."
KIOS-FM                                                                         ,Radio,Omaha ,NE,Douglas County School District 001
KVNO-FM                                                                         ,Radio,Omaha,NE,Board of Regents of the University of Nebraska thru the University of Nebraska at Omaha
"New Hampshire Public Radio, Inc.",Radio,Concord,NH,"New Hampshire Public Radio, Incorporated"
WBJB-FM                                                                         ,Radio,Lincroft,NJ,Brookdale Community College
WBGO-FM                                                                         ,Radio,Newark,NJ,"Newark Public Radio, Inc."
WWFM-FM                                                                         ,Radio,West WIndsor,NJ,Mercer County Community College
WFMU-FM,Radio,Jersey City,NJ,Auricle Communications
KANW-FM                                                                         ,Radio,Albuquerque ,NM,Board of Education of the City of Albuquerque
KUNM-FM,Radio,Albuquerque,NM,Regents of the University of New Mexico
KCIE-FM                                                                         ,Radio,Dulce,NM,Jicarilla Apache Tribe
KRWG-FM                                                                         ,Radio,Las Cruces,NM,Regents of New Mexico State University
KABR-FM,Radio,Alamo,NM,"Alamo Navajo School Board, Inc."
KENW-FM,Radio,Portales,NM,Eastern New Mexico University
KTDB-FM                                                                         ,Radio,Pine hill,NM,"Ramah Navajo School Board, Inc."
KSHI-FM                                                                         ,Radio,Zuni ,NM,Zuni Communications Authority
KGLP-FM,Radio,Gallup,NM,Gallup Public Radio
KSFR_FM,Radio,Santa Fe,NM,Santa Fe Community College
KSJE-FM,Radio,Farmington,NM,San Juan College
KHFM-FM,Radio,Albuquerque,NM,The American General Media Foundation
KNPR-FM                                                                         ,Radio,Las Vegas,NV,Nevada Public Radio
KUNR-FM                                                                         ,Radio,Reno ,NV,Board of Regents of the Nevada System of Higher Education
WAMC-FM                                                                         ,Radio,Albany,NY,WAMC
WSKG-FM                                                                         ,Radio,Vestal,NY,WSKG Public Telecommunications Council
WFUV-FM                                                                         ,Radio,Bronx,NY,"Fordham University, Executive Committee Board of Trustees"
WNED-FM                                                                         ,Radio,Buffalo,NY,Western New York Public Broadcasting Association
WSLU-FM                                                                         ,Radio,Canton,NY,The St. Lawrence University
WEOS-FM                                                                         ,Radio,Geneva,NY,Hobart and William Smith Colleges
WJFF-FM                                                                         ,Radio,Jeffersonville,NY,"Radio Catskill, Inc."
WCNY-FM                                                                         ,Radio,Syracuse ,NY,"The Public Broadcasting Council of Central New York, Inc."
WNYC-FM                                                                         ,Radio,New York,NY,New York Public Radio
WRVO-FM                                                                         ,Radio,Albany,NY,"Board of Trustees, State University of New York"
WXXI-FM                                                                         ,Radio,Rochester,NY,WXXI Public Broadcasting Council
WMHT-FM                                                                         ,Radio,Troy,NY,WMHT Educational Telecommunications
WLIW-FM,Radio,New York,NY,WNET
WAER-FM                                                                         ,Radio,Syracuse,NY,Syracuse University
WAPS-FM                                                                         ,Radio,Akron,OH,"Board of Education, Akron City School District"
WOUB-FM                                                                         ,Radio,Athens,OH,Ohio University
WGUC-FM                                                                         ,Radio,Cincinnati ,OH,"Cincinnati Public Radio, Inc. "
WCPN-FM                                                                         ,Radio,Cleveland,OH,Ideastream
WCBE-FM                                                                         ,Radio,Columbus,OH,"Board of Education of the City School District ofColumbus, Ohio"
WOSU-FM                                                                         ,Radio,Columbus,OH,The Ohio State University
WDPR-FM                                                                         ,Radio,Dayton,OH,"Dayton Public Radio, Inc."
WGTE-FM                                                                         ,Radio,Toledo,OH,Public Broadcasting Foundation of Northwest Ohio
WCSU-FM                                                                         ,Radio,Wilberforce,OH,Central State University
WYSO-FM                                                                         ,Radio,Yellow Springs,OH,"Miami Valley Public Media, Inc."
WYSU-FM                                                                         ,Radio,Youngstown,OH,Youngstown State University
WMKV-FM,Radio,Springdale,OH,"Maple Knoll Communities, Inc."
KUCO-FM,Radio,Edmond,OK,University of Central Oklahoma
KCCU-FM                                                                         ,Radio,Lawton,OK,Cameron University
KGOU-FM                                                                         ,Radio,Norman,OK,The University of Oklahoma
KOSU-FM                                                                         ,Radio,Stillwater,OK,Oklahoma State University
KWGS-FM,Radio,Tulsa ,OK,The University of Tulsa
KSOR-FM                                                                         ,Radio,Ashland,OR,Southern Oregon University
KMUN-FM,Radio,Astoria ,OR,Tillicum Foundation
KWAX-FM                                                                         ,Radio,Eugene,OR,University of Oregon
KRVM-FM                                                                         ,Radio,Eugene,OR,"School District 4J, Lane County"
KLCC-FM                                                                         ,Radio,Eugene ,OR,Lane Community College
KBOO-FM                                                                         ,Radio,Portland,OR,The KBOO Foundation
KQAC-FM                                                                         ,Radio,Portland,OR,"All Classical Public Media, Inc."
KOPB-FM                                                                         ,Radio,Portland,OR,Oregon Public Broadcasting
KWSO-FM,Radio,Warm Springs,OR,Confederated Tribes of Warm Springs
KCUW-LP,Radio,Pendleton,OR,Confederated Tribes of the Umatilla Indian Reservation
KNCA-FM,Radio,Ashland,OR,Southern Oregon University
WDIY-FM                                                                         ,Radio,Bethlehem,PA,Lehigh Valley Community Broadcasters Association
WQLN-FM                                                                         ,Radio,Erie ,PA,"Public Broadcasting of NorthwestPennsylvania, Inc."
WITF-FM                                                                         ,Radio,Harrisburg,PA,"WITF, Inc."
WLCH-FM                                                                         ,Radio,Lancaster,PA,"Spanish American Civic Association for Equality, Inc."
WHYY-FM                                                                         ,Radio,Philadelphia,PA,"WHYY, Inc."
WRTI-FM                                                                         ,Radio,Philadelphia,PA,Temple University of the Commonwealth System of Higher Education
WXPN-FM                                                                         ,Radio,Philadelphia,PA,Trustees of the University of Pennsylvania
WQED-FM                                                                         ,Radio,Pittsburgh,PA,WQED Multimedia
WYEP-FM                                                                         ,Radio,Pittsburgh,PA,Pittsburgh Community Broadcasting Corporation
WVIA-FM                                                                         ,Radio,Pittston,PA,Northeastern Pennsylvania Educational Television Association
WPSU-FM                                                                         ,Radio,University Park,PA,The Pennsylvania State University
WIPR-FM                                                                         ,Radio,San Juan,PR,Puerto Rico Public Broadcasting Corporation
WRTU-FM                                                                         ,Radio,San Juan,PR,University of Puerto Rico
WNPE-FM,Radio,Providence,RI,Rhode Island Public Radio
WLTR-FM                                                                         ,Radio,Columbia,SC,South Carolina Educational Television Commission
WSSB-FM                                                                         ,Radio,Orangeburg,SC,South Carolina State University
KILI-FM                                                                         ,Radio,Porcupine ,SD,"Lakota Communications, Inc."
KLND-FM                                                                         ,Radio,McLaughlin,SD,"Seventh Generation Media Services, Inc."
KUSD-FM                                                                         ,Radio,Vermillion,SD,South Dakota Board of Directors for Educational Telecommunications
KDKO-FM,Radio,Lake Andes,SD,"Native American Community Board, Inc. "
KOYA-FM,Radio,Rosebud,SD,Rosebud Sioux Tribe
WUTC-FM                                                                         ,Radio,Chattanooga,TN,University of Tennessee
WETS-FM                                                                         ,Radio,Johnson City,TN,East Tennessee State University
WUOT-FM                                                                         ,Radio,Knoxville,TN,University of Tennessee
WKNO-FM                                                                         ,Radio,Cordova,TN,"The Mid-South Public Communications Foundation, Inc."
WPLN-FM,Radio,Nashville,TN,Nashville Public Radio
WDVX-FM,Radio,Knoxville,TN,Cumberland Communities Communications Corporation
KUT -FM                                                                         ,Radio,Austin,TX,The University of Texas at Austin
KVLU-FM                                                                         ,Radio,Beaumont ,TX,Lamar University
KAMU-FM                                                                         ,Radio,College Station,TX,Texas A&M University
KETR-FM                                                                         ,Radio,Commerce,TX,Texas A&M University-Commerce
KEDT-FM                                                                         ,Radio,Corpus Christi ,TX,"South Texas Public Broadcasting System, Inc."
KERA-FM                                                                         ,Radio,Dallas,TX,"North Texas Public Broadcasting, Inc."
KTEP-FM                                                                         ,Radio,El Paso,TX,University of Texas at El Paso
KTSU-FM                                                                         ,Radio,Houston,TX,Texas Southern University
KUHF-FM                                                                         ,Radio,Houston,TX,University of Houston System
KNCT-FM                                                                         ,Radio,Killeen,TX,Central Texas College
KTTZ-FM,Radio,Lubbock,TX,Texas Tech University
KXWT-FM,Radio,Marfa,TX,Marfa Public Radio Corporation
KPAC-FM,Radio,San Antonio,TX,Texas Public Radio
KTXK-FM                                                                         ,Radio,Texarkana,TX,Texarkana Community College
KWBU-FM,Radio,Waco,TX,Brazos Valley Public Broadcasting Foundation
KACU-FM,Radio,Abilene,TX,Abilene Christian University
KMFA-FM,Radio,Austin,TX,"Capitol Broadcasting Association, Inc."
KRTS-FM,Radio,Marfa,TX,Marfa Public Radio Corporation
KUSU-FM                                                                         ,Radio,Logan,UT,Utah State University
KPCW-FM                                                                         ,Radio,Park City,UT,"Community Wireless of Park City, Inc."
KRCL-FM                                                                         ,Radio,Salt Lake City,UT,"Listeners Community Radio of Utah, Inc."
KUER-FM                                                                         ,Radio,Salt Lake City,UT,University of Utah
WETA-FM                                                                         ,Radio,Arlington,VA,"The Greater Washington Educational Telecommunications Association, Inc."
WTJU-FM                                                                         ,Radio,Charlottesville,VA,The Rector and Visitors of the University of Virginia
WMRA-FM                                                                         ,Radio,Harrisonburg,VA,James Madison University Board of Visitors
WHRV-FM                                                                         ,Radio,Norfolk,VA,"Hampton Roads Educational Telecommunications Association, Inc."
WNSB-FM,Radio,Norfolk,VA,Norfolk State University Board of Visitors
WCVE-FM                                                                         ,Radio,Richmond,VA,VPM Media Corporation
WVTF-FM                                                                         ,Radio,Roanoke,VA,"Virginia Tech Foundation, Inc."
WNRN-FM,Radio,Charlottesville,VA,"STU-COMM, Inc."
WVPS-FM,Radio,Colchester,VT,Vermont Public Co.
KBCS-FM                                                                         ,Radio,Bellevue,WA,Bellevue College
KDNA-FM                                                                         ,Radio,Granger,WA,Northwest Communities' Education Center
KWSU-AM                                                                         ,Radio,Pullman,WA,Washington State University
KUOW-FM                                                                         ,Radio,Seattle,WA,University of Washington
KPBX-FM                                                                         ,Radio,Spokane ,WA,Spokane Public Radio
KNKX-FM,Radio,Tacoma,WA,Pacific Public Media
KSVR-FM,Radio,Mount Vernon,WA,Board of Trustees of Skagit Valley College
KING-FM,Radio,Seattle,WA,Classic Radio
KEXP-FM,Radio,Seattle,WA,Friends of KEXP
KNHC-FM,Radio,Seattle,WA,Seattle Public Schools
WOJB-FM                                                                         ,Radio,Hayward,WI,Lac Courte Oreilles Ojibwa Public Broadcasting Corporation
WLSU-FM                                                                         ,Radio,Madison,WI,Board of Regents of the University of Wisconsin System
WERN-FM                                                                         ,Radio,Madison,WI,Wisconsin Educational Communications Board
WHA-AM                                                                          ,Radio,Madison,WI,Board of Regents of the University of Wisconsin System
WORT-FM,Radio,Madison,WI,"Back Porch Radio Broadcasting, Inc."
WUWM-FM                                                                         ,Radio,Milwaukee,WI,Board of Regents of the University of Wisconsin System
WHAD-FM                                                                         ,Radio,Madison,WI,Wisconsin Educational Communications Board
WYMS-FM                                                                         ,Radio,Milwaukee ,WI,Milwaukee Board of School Directors
WXPR-FM,Radio,Rhinelander,WI,"White Pine Community Broadcasting, Inc."
WVPB-FM,Radio,Charleston,WV,West Virginia Educational Broadcasting Authority
WVMR-AM                                                                         ,Radio,Dunmore ,WV,Pocahontas Communications Cooperative Corporation
WVLS-FM                                                                         ,Radio,Dunmore,WV,Pocahontas Communications Cooperative Corporation
KUWR-FM                                                                         ,Radio,Laramie,WY,University of Wyoming
KHOL-FM,Radio,Jackson ,WY,"Jackson Hole Community Radio, Incorporated"
