station_id,station_name,candidate_url,score
metropolitan-indianapolis-public-media-inc,"Metropolitan Indianapolis Public Media, Inc.",https://www.wfyi.org/about/public-files,13
metropolitan-indianapolis-public-media-inc,"Metropolitan Indianapolis Public Media, Inc.",https://www.radioworld.com/about/reports,11
metropolitan-indianapolis-public-media-inc,"Metropolitan Indianapolis Public Media, Inc.",https://www.wfyi.org/about/financials,11
northwest-indiana-public-broadcasting-inc,"Northwest Indiana Public Broadcasting, Inc.",https://www.ipm.org/about/reports,11
northwest-indiana-public-broadcasting-inc,"Northwest Indiana Public Broadcasting, Inc.",https://www.ipm.org/about/about-wfiu,9
northwest-indiana-public-broadcasting-inc,"Northwest Indiana Public Broadcasting, Inc.",https://www.ipm.org/about/about-wtiu,9
west-central-minnesota-etv-company,West Central Minnesota ETV Company,https://kstp.com/about/reports,11
west-central-minnesota-etv-company,West Central Minnesota ETV Company,https://kstp.com/minnesota-sports/2026-high-school-girls-hockey-tournament-central/,11
west-central-minnesota-etv-company,West Central Minnesota ETV Company,https://kstp.com/5-investigates/minnesota-dhs-investigating-falsified-documentation-in-behavioral-health-grant-program/,9
mountain-lake-public-telecommunications-council,Mountain Lake Public Telecommunications Council,https://mountainlake.org/about/,13
mountain-lake-public-telecommunications-council,Mountain Lake Public Telecommunications Council,https://mountainlake.org/about/channel-information/,13
mountain-lake-public-telecommunications-council,Mountain Lake Public Telecommunications Council,https://mountainlake.org/about/contact/,13
lehigh-valley-public-telecommunications-corporatio,Lehigh Valley Public Telecommunications Corporation,https://www.lehighvalleypublicmedia.org/about-us/,13
lehigh-valley-public-telecommunications-corporatio,Lehigh Valley Public Telecommunications Corporation,https://www.lehighvalleypublicmedia.org/about-us,12
lehigh-valley-public-telecommunications-corporatio,Lehigh Valley Public Telecommunications Corporation,https://www.lehighvalleypublicmedia.org/contact-us/,11
sistema-universitario-ana-g-mendez-inc,"Sistema Universitario Ana G. Mendez, Inc.",https://agmu.edu/es/noticias/ana-g-mendez-university-participa-en-transitions-life,9
sistema-universitario-ana-g-mendez-inc,"Sistema Universitario Ana G. Mendez, Inc.",https://uagm.edu/es/ofrecimientos/por-recinto-y-o-centro-universitario,9
sistema-universitario-ana-g-mendez-inc,"Sistema Universitario Ana G. Mendez, Inc.",https://uagm.edu/es/recintos-y-centros-universitarios,9
puerto-rico-public-broadcasting-corporation,Puerto Rico Public Broadcasting Corporation,https://www.wikidata.org/wiki/Special:MyLanguage/Help:About_data,9
the-greater-chattanooga-public-television-corporat,The Greater Chattanooga Public Television Corporation,https://www.greaterchattanooga.org/about,12
the-greater-chattanooga-public-television-corporat,The Greater Chattanooga Public Television Corporation,https://www.greaterchattanooga.org/home-1/2020/2/20/making-waves,11
the-greater-chattanooga-public-television-corporat,The Greater Chattanooga Public Television Corporation,https://www.greaterchattanooga.org/home-1/2020/3/26/scenic-sushi,11
permian-basin-public-telecommunications-inc,"Permian Basin Public Telecommunications, Inc.",https://pbt-permian.com/annual-qtrly-reports/,6
utah-state-board-of-regents,Utah State Board of Regents,https://ushe.edu/utah-board-of-higher-education-names-brad-l-mortensen-president-of-utah-state-university/,11
utah-state-board-of-regents,Utah State Board of Regents,https://ushe.edu/utah-board-of-higher-education-sets-statewide-direction-on-ai/,11
utah-state-board-of-regents,Utah State Board of Regents,https://ushe.edu/applications-open-for-weber-state-university-president/,9
virgin-islands-public-broadcasting-system,Virgin Islands Public Broadcasting System,https://viconsortium.com/vi-business/virgin-islands-youth-financial-literacy-symposium-nears-capacity-as-registration-gains-momentum,13
virgin-islands-public-broadcasting-system,Virgin Islands Public Broadcasting System,https://viconsortium.com/vi-caribbean/virgin-islands-reports-jamaican-corporal-accused-of-infringing-on-rights-of-a-rastafarian-woman-who-says-her-dreadlocks-were-cut-against-her-will,13
